Secretaría,Total,Corte,Tribunal,Informe,Año,Mes,Competencia
Civil,33,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
Crimen,1,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
Exhorto,1,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
Familia,11,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
Pleno,107,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
Policía Local,8,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
Queja-Ilegalidades-Hechos,6,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
Recursos De Amparo,15,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
Recursos De Protección,65,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
Reforma Laboral,7,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
Reforma Procesal Penal,44,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
Tributario Y Aduanero,1,Corte De Apelaciones De Arica,Corte De Apelaciones De Arica,Ingresos Corte,2021,Febrero,Sin Competencia
